N,OscNum,Topology,Coupling,InDegree,FreqVar,DelayConst,DelayVar,c1,c2
5,1,all,0.99,4,0,0,0,1.69646003293849,3.70707933123596
5,2,all,0.99,4,0,0,0,1.75929188601028,3.83274303737955
5,3,all,0.99,4,0,0,0,1.5707963267949,3.70707933123596
5,4,all,0.99,4,0,0,0,1.88495559215388,3.83274303737955
5,5,all,0.99,4,0,0,0,1.88495559215388,3.76991118430775
2,1,all,0.99,1,0,0,0,3.078760800518,3.078760800518
2,2,all,0.99,1,0,0,0,2.95309709437441,2.95309709437441
2,1,all,0.99,1,0,0,0,3.0159289474462,3.20442450666159
2,2,all,0.99,1,0,0,0,3.078760800518,3.078760800518
2,1,all,0.99,1,0,0,0,3.14159265358979,3.20442450666159
2,2,all,0.99,1,0,0,0,2.70176968208722,2.95309709437441
3,1,all,0.99,2,0,0,0,2.38761041672824,3.39292006587698
3,2,all,0.99,2,0,0,0,2.76460153515902,3.33008821280518
3,3,all,0.99,2,0,0,0,2.89026524130261,3.45575191894877
3,1,all,0.99,2,0,0,0,2.70176968208722,3.26725635973339
3,2,all,0.99,2,0,0,0,2.57610597594363,3.20442450666159
3,3,all,0.99,2,0,0,0,2.70176968208722,3.14159265358979
3,1,all,0.99,2,0,0,0,2.51327412287183,3.33008821280518
3,2,all,0.99,2,0,0,0,3.0159289474462,3.26725635973339
3,3,all,0.99,2,0,0,0,2.76460153515902,3.26725635973339
4,1,all,0.99,3,0,0,0,2.19911485751286,3.45575191894877
4,2,all,0.99,3,0,0,0,2.26194671058465,3.39292006587698
4,3,all,0.99,3,0,0,0,2.32477856365645,3.45575191894877
4,4,all,0.99,3,0,0,0,2.32477856365645,3.45575191894877
4,1,all,0.99,3,0,0,0,2.19911485751286,3.39292006587698
4,2,all,0.99,3,0,0,0,2.32477856365645,3.39292006587698
4,3,all,0.99,3,0,0,0,2.51327412287183,3.20442450666159
4,4,all,0.99,3,0,0,0,2.45044226980004,3.39292006587698
4,1,all,0.99,3,0,0,0,2.07345115136926,3.58141562509236
4,2,all,0.99,3,0,0,0,2.32477856365645,3.45575191894877
4,3,all,0.99,3,0,0,0,2.07345115136926,3.51858377202057
4,4,all,0.99,3,0,0,0,2.13628300444106,3.20442450666159
5,1,all,0.99,4,0,0,0,1.75929188601028,3.76991118430775
5,2,all,0.99,4,0,0,0,1.63362817986669,3.76991118430775
5,3,all,0.99,4,0,0,0,1.82212373908208,3.58141562509236
5,4,all,0.99,4,0,0,0,1.5707963267949,3.95840674352314
5,5,all,0.99,4,0,0,0,1.88495559215388,3.64424747816416
5,1,all,0.99,4,0,0,0,2.01061929829747,3.51858377202057
5,2,all,0.99,4,0,0,0,1.5707963267949,3.89557489045134
5,3,all,0.99,4,0,0,0,1.94778744522567,3.58141562509236
5,4,all,0.99,4,0,0,0,1.69646003293849,3.76991118430775
5,5,all,0.99,4,0,0,0,1.63362817986669,3.89557489045134
6,1,all,0.99,5,0,0,0,1.4451326206513,3.89557489045134
6,2,all,0.99,5,0,0,0,1.38230076757951,4.02123859659494
6,3,all,0.99,5,0,0,0,1.38230076757951,3.83274303737955
6,4,all,0.99,5,0,0,0,1.4451326206513,3.89557489045134
6,5,all,0.99,5,0,0,0,1.5079644737231,3.76991118430775
6,6,all,0.99,5,0,0,0,1.5707963267949,3.89557489045134
6,1,all,0.99,5,0,0,0,1.4451326206513,3.83274303737955
6,2,all,0.99,5,0,0,0,1.38230076757951,3.83274303737955
6,3,all,0.99,5,0,0,0,1.31946891450771,3.95840674352314
6,4,all,0.99,5,0,0,0,1.4451326206513,3.76991118430775
