N,OscNum,Topology,Coupling,InDegree,FreqVar,DelayConst,DelayVar,c1,c2
6,2,ERGrand,1,1,0,0,0,3.26725635973339,3.26725635973339
6,1,alldel,1,1,0,0,0,3.078760800518,3.26725635973339
6,2,alldel,1,1,0,0,0,3.0159289474462,3.14159265358979
6,6,alldel,1,1,0,0,0,3.33008821280518,3.33008821280518
10,4,ERGrand,1,1,0,0,0,3.20442450666159,3.20442450666159
10,5,ERGrand,1,1,0,0,0,2.76460153515902,3.14159265358979
10,9,ERGrand,1,1,0,0,0,2.82743338823081,3.078760800518
15,15,alldel,1,1,0,0,0,2.63893782901543,3.078760800518
19,1,ERGrand,1,1,0,0,0,2.82743338823081,3.14159265358979
19,4,ERGrand,1,1,0,0,0,2.89026524130261,3.14159265358979
19,6,ERGrand,1,1,0,0,0,3.14159265358979,3.14159265358979
19,7,ERGrand,1,1,0,0,0,2.82743338823081,3.14159265358979
19,15,ERGrand,1,1,0,0,0,2.95309709437441,3.14159265358979
19,17,ERGrand,1,1,0,0,0,3.14159265358979,3.14159265358979
6,1,ERGrand,1,2,0,0,0,2.57610597594363,3.20442450666159
6,5,ERGrand,1,2,0,0,0,2.63893782901543,3.26725635973339
6,3,alldel,1,2,0,0,0,2.57610597594363,3.20442450666159
6,5,alldel,1,2,0,0,0,2.57610597594363,3.14159265358979
10,1,ERGrand,1,2,0,0,0,2.19911485751286,3.33008821280518
10,6,ERGrand,1,2,0,0,0,2.89026524130261,3.26725635973339
10,7,ERGrand,1,2,0,0,0,2.57610597594363,3.33008821280518
10,8,ERGrand,1,2,0,0,0,2.76460153515902,3.26725635973339
12,2,ERGrand,1,2,0,0,0,2.57610597594363,3.26725635973339
12,4,ERGrand,1,2,0,0,0,3.14159265358979,3.33008821280518
12,6,ERGrand,1,2,0,0,0,2.32477856365645,3.33008821280518
12,7,ERGrand,1,2,0,0,0,2.76460153515902,3.33008821280518
14,1,ERGrand,1,2,0,0,0,2.45044226980004,3.20442450666159
14,2,ERGrand,1,2,0,0,0,2.51327412287183,3.20442450666159
15,14,alldel,1,2,0,0,0,2.70176968208722,3.39292006587698
16,10,ERGrand,1,2,0,0,0,2.63893782901543,3.26725635973339
16,12,ERGrand,1,2,0,0,0,2.32477856365645,3.39292006587698
19,2,ERGrand,1,2,0,0,0,2.45044226980004,3.26725635973339
19,3,ERGrand,1,2,0,0,0,2.38761041672824,3.39292006587698
19,13,ERGrand,1,2,0,0,0,2.70176968208722,3.39292006587698
19,14,ERGrand,1,2,0,0,0,2.45044226980004,3.26725635973339
19,18,ERGrand,1,2,0,0,0,2.63893782901543,3.33008821280518
19,19,ERGrand,1,2,0,0,0,2.63893782901543,3.33008821280518
6,6,ERGrand,1,3,0,0,0,2.07345115136926,3.39292006587698
6,3,alldel,1,3,0,0,0,2.19911485751286,3.33008821280518
6,4,alldel,1,3,0,0,0,1.94778744522567,3.51858377202057
6,4,alldel,1,3,0,0,0,2.32477856365645,3.39292006587698
10,2,ERGrand,1,3,0,0,0,2.19911485751286,3.45575191894877
10,3,ERGrand,1,3,0,0,0,2.19911485751286,3.45575191894877
12,1,ERGrand,1,3,0,0,0,2.32477856365645,3.33008821280518
12,11,ERGrand,1,3,0,0,0,2.01061929829747,3.45575191894877
12,12,ERGrand,1,3,0,0,0,2.26194671058465,3.45575191894877
14,3,ERGrand,1,3,0,0,0,2.01061929829747,3.39292006587698
14,5,ERGrand,1,3,0,0,0,2.07345115136926,3.39292006587698
14,7,ERGrand,1,3,0,0,0,2.07345115136926,3.45575191894877
14,10,ERGrand,1,3,0,0,0,1.94778744522567,3.39292006587698
15,13,alldel,1,3,0,0,0,2.19911485751286,3.33008821280518
19,9,ERGrand,1,3,0,0,0,1.94778744522567,3.45575191894877
19,11,ERGrand,1,3,0,0,0,1.88495559215388,3.39292006587698
19,12,ERGrand,1,3,0,0,0,1.94778744522567,3.45575191894877
19,16,ERGrand,1,3,0,0,0,2.19911485751286,3.39292006587698
6,3,ERGrand,1,4,0,0,0,1.75929188601028,3.58141562509236
6,4,ERGrand,1,4,0,0,0,1.75929188601028,3.51858377202057
6,2,alldel,1,4,0,0,0,1.75929188601028,3.64424747816416
6,5,alldel,1,4,0,0,0,1.5707963267949,3.58141562509236
10,3,ERGrand,1,4,0,0,0,1.75929188601028,3.58141562509236
10,9,ERGrand,1,4,0,0,0,1.75929188601028,3.64424747816416
12,3,ERGrand,1,4,0,0,0,1.5707963267949,3.64424747816416
12,5,ERGrand,1,4,0,0,0,1.5707963267949,3.64424747816416
12,8,ERGrand,1,4,0,0,0,1.5707963267949,3.45575191894877
12,10,ERGrand,1,4,0,0,0,1.5707963267949,3.58141562509236
14,8,ERGrand,1,4,0,0,0,1.69646003293849,3.51858377202057
15,12,alldel,1,4,0,0,0,1.88495559215388,3.58141562509236
16,3,ERGrand,1,4,0,0,0,1.5707963267949,3.58141562509236
16,5,ERGrand,1,4,0,0,0,1.69646003293849,3.64424747816416
16,16,ERGrand,1,4,0,0,0,1.5707963267949,3.51858377202057
19,5,ERGrand,1,4,0,0,0,1.63362817986669,3.70707933123596
19,8,ERGrand,1,4,0,0,0,1.5079644737231,3.64424747816416
19,10,ERGrand,1,4,0,0,0,1.5707963267949,3.45575191894877
6,1,alldel,1,5,0,0,0,1.31946891450771,3.89557489045134
6,6,alldel,1,5,0,0,0,1.38230076757951,3.76991118430775
10,1,ERGrand,1,5,0,0,0,1.4451326206513,3.76991118430775
10,2,ERGrand,1,5,0,0,0,1.38230076757951,3.70707933123596
10,4,ERGrand,1,5,0,0,0,1.31946891450771,3.70707933123596
10,7,ERGrand,1,5,0,0,0,1.31946891450771,3.89557489045134
10,10,ERGrand,1,5,0,0,0,1.31946891450771,3.95840674352314
10,10,ERGrand,1,5,0,0,0,1.25663706143592,3.83274303737955
14,4,ERGrand,1,5,0,0,0,1.31946891450771,3.83274303737955
14,9,ERGrand,1,5,0,0,0,1.25663706143592,3.83274303737955
15,11,alldel,1,5,0,0,0,1.5079644737231,3.70707933123596
16,4,ERGrand,1,5,0,0,0,1.31946891450771,3.76991118430775
10,5,ERGrand,1,6,0,0,0,1.13097335529233,3.95840674352314
10,6,ERGrand,1,6,0,0,0,1.06814150222053,4.02123859659494
14,6,ERGrand,1,6,0,0,0,1.13097335529233,4.02123859659494
14,11,ERGrand,1,6,0,0,0,1.06814150222053,3.83274303737955
14,12,ERGrand,1,6,0,0,0,1.13097335529233,4.02123859659494
15,3,ERGrand,1,6,0,0,0,1.13097335529233,3.95840674352314
15,9,ERGrand,1,6,0,0,0,1.13097335529233,3.95840674352314
15,10,alldel,1,6,0,0,0,1.25663706143592,3.89557489045134
16,2,ERGrand,1,6,0,0,0,1.06814150222053,4.02123859659494
16,7,ERGrand,1,6,0,0,0,1.13097335529233,3.95840674352314
16,8,ERGrand,1,6,0,0,0,1.19380520836412,3.83274303737955
16,9,ERGrand,1,6,0,0,0,1.13097335529233,3.89557489045134
16,15,ERGrand,1,6,0,0,0,1.06814150222053,4.02123859659494
10,8,ERGrand,1,7,0,0,0,0.942477796076938,4.14690230273853
12,9,ERGrand,1,7,0,0,0,0.942477796076938,4.14690230273853
14,13,ERGrand,1,7,0,0,0,1.00530964914873,4.14690230273853
14,14,ERGrand,1,7,0,0,0,1.06814150222053,4.14690230273853
15,2,ERGrand,1,7,0,0,0,1.06814150222053,4.14690230273853
15,4,ERGrand,1,7,0,0,0,1.00530964914873,4.14690230273853
15,6,ERGrand,1,7,0,0,0,0.942477796076938,4.08407044966673
15,8,alldel,1,7,0,0,0,1.13097335529233,4.08407044966673
15,9,alldel,1,7,0,0,0,1.06814150222053,4.08407044966673
16,13,ERGrand,1,7,0,0,0,0.942477796076938,4.02123859659494
16,14,ERGrand,1,7,0,0,0,1.00530964914873,4.08407044966673
20,7,ERGrand,1,7,0,0,0,1.06814150222053,4.20973415581032
15,10,ERGrand,1,8,0,0,0,1.00530964914873,4.14690230273853
15,11,ERGrand,1,8,0,0,0,1.00530964914873,4.20973415581032
15,13,ERGrand,1,8,0,0,0,1.00530964914873,4.14690230273853
15,7,alldel,1,8,0,0,0,0.942477796076938,4.08407044966673
16,1,ERGrand,1,8,0,0,0,0.879645943005142,4.14690230273853
16,6,ERGrand,1,8,0,0,0,0.816814089933346,4.39822971502571
20,14,ERGrand,1,8,0,0,0,0.942477796076938,4.20973415581032
15,1,ERGrand,1,9,0,0,0,0.816814089933346,4.27256600888212
15,4,ERGrand,1,9,0,0,0,0.942477796076938,4.33539786195391
15,5,ERGrand,1,9,0,0,0,0.879645943005142,4.20973415581032
15,7,ERGrand,1,9,0,0,0,0.879645943005142,4.27256600888212
15,14,ERGrand,1,9,0,0,0,0.816814089933346,4.27256600888212
15,6,alldel,1,9,0,0,0,0.879645943005142,4.27256600888212
16,11,ERGrand,1,9,0,0,0,0.879645943005142,4.27256600888212
20,12,ERGrand,1,9,0,0,0,0.879645943005142,4.27256600888212
20,17,ERGrand,1,9,0,0,0,0.879645943005142,4.33539786195391
15,5,ERGrand,1,10,0,0,0,0.816814089933346,4.33539786195391
15,12,ERGrand,1,10,0,0,0,0.816814089933346,4.33539786195391
15,5,alldel,1,10,0,0,0,0.942477796076938,4.33539786195391
20,2,ERGrand,1,10,0,0,0,0.816814089933346,4.27256600888212
20,4,ERGrand,1,10,0,0,0,0.816814089933346,4.33539786195391
20,9,ERGrand,1,10,0,0,0,0.816814089933346,4.39822971502571
20,20,ERGrand,1,10,0,0,0,0.879645943005142,4.27256600888212
15,3,ERGrand,1,11,0,0,0,0.75398223686155,4.33539786195391
15,6,ERGrand,1,11,0,0,0,0.816814089933346,4.46106156809751
15,10,ERGrand,1,11,0,0,0,0.816814089933346,4.39822971502571
15,12,ERGrand,1,11,0,0,0,0.816814089933346,4.39822971502571
15,14,ERGrand,1,11,0,0,0,0.75398223686155,4.27256600888212
15,15,ERGrand,1,11,0,0,0,0.75398223686155,4.33539786195391
15,15,ERGrand,1,11,0,0,0,0.75398223686155,4.39822971502571
15,4,alldel,1,11,0,0,0,0.691150383789755,4.39822971502571
20,15,ERGrand,1,11,0,0,0,0.75398223686155,4.27256600888212
20,16,ERGrand,1,11,0,0,0,0.75398223686155,4.33539786195391
20,18,ERGrand,1,11,0,0,0,0.691150383789755,4.46106156809751
15,2,ERGrand,1,12,0,0,0,0.75398223686155,4.39822971502571
15,7,ERGrand,1,12,0,0,0,0.75398223686155,4.39822971502571
15,8,ERGrand,1,12,0,0,0,0.75398223686155,4.39822971502571
15,13,ERGrand,1,12,0,0,0,0.75398223686155,4.46106156809751
15,3,alldel,1,12,0,0,0,0.691150383789755,4.5238934211693
20,3,ERGrand,1,12,0,0,0,0.75398223686155,4.39822971502571
20,5,ERGrand,1,12,0,0,0,0.691150383789755,4.46106156809751
20,10,ERGrand,1,12,0,0,0,0.691150383789755,4.5238934211693
20,11,ERGrand,1,12,0,0,0,0.691150383789755,4.5238934211693
20,13,ERGrand,1,12,0,0,0,0.75398223686155,4.46106156809751
15,8,ERGrand,1,13,0,0,0,0.75398223686155,4.46106156809751
15,2,alldel,1,13,0,0,0,0.691150383789755,4.5238934211693
20,1,ERGrand,1,13,0,0,0,0.691150383789755,4.46106156809751
20,8,ERGrand,1,13,0,0,0,0.691150383789755,4.5238934211693
20,19,ERGrand,1,13,0,0,0,0.691150383789755,4.46106156809751
21,18,ERGrand,1,13,0,0,0,0.691150383789755,4.46106156809751
15,1,ERGrand,1,14,0,0,0,0.691150383789755,4.46106156809751
15,9,ERGrand,1,14,0,0,0,0.691150383789755,4.46106156809751
15,11,ERGrand,1,14,0,0,0,0.75398223686155,4.46106156809751
15,1,alldel,1,14,0,0,0,0.628318530717959,4.5238934211693
